1606578,377128,158563,78667,89295,159733,16420,14535,47,38,3
375262,41488,22249,23537,24722,25117,13507,18337,47,38,3
80591,30671,66840,36263,25857,43392,34844,10383,47,38,3
1361324,442375,91371,38816,77839,83485,215209,142642,47,38,3
502746,140393,175333,190884,29658,27980,54839,83532,56,48,3
1425831,670556,1115066,1217434,905328,579421,709786,207828,63,57,3
72497,134700,57512,24566,16377,6206,7441,10088,75,64,3
336530,162227,20182,24333,50918,73820,71907,21132,34,64,3
408787,122950,35222,61913,16601,26264,32565,12188,47,61,3
144998,117665,100008,19180,6182,37151,15552,13702,63,48,3
2694628,185474,45339,78087,51903,79239,48439,75377,56,44,3
17393,18564,29421,23398,4045,14122,19225,6273,91,43,3
73254,19284,5139,1667,4277,3929,3336,2187,80,66,3
233088,95324,16260,7837,20617,14166,5747,4244,87,57,3
1365386,354048,92998,99792,52335,81179,39880,19629,80,43,3
867533,64934,8539,34280,48670,30601,4770,4870,70,41,3
427641,24167,11991,8261,4001,8626,6146,3477,77,24,3
352073,90559,29608,17848,12802,10605,4148,6906,80,34,3
1142370,271566,210537,293161,193212,202089,91438,33016,74,43,3
497668,104696,21816,33319,11503,28746,28142,9817,84,50,3
980661,110540,74167,7393,7088,10057,16964,13028,78,53,3
2778651,119527,225972,101811,114075,70167,15071,25231,56,53,3
1245950,186707,11123,95517,84653,33112,34082,26650,69,64,3
2971279,1231246,644777,304743,77405,139323,147468,103712,69,64,3
779489,972898,343030,53648,195301,476736,192404,172436,47,63,3
480364,225528,95868,137578,44387,22927,20892,6372,47,63,3
1037561,357934,251085,154658,152824,399111,424805,75717,47,63,3
2038521,461599,44371,129052,237839,64245,34079,17628,47,63,3
877011,296981,79586,40384,27101,16826,7850,1719,37,56,3
2309100,340438,111201,62133,39839,51273,20657,24026,34,51,3
1816166,44817,15868,7899,84573,60964,19628,39849,24,40,3
60242,91907,71360,2622,11229,10420,3084,3448,54,21,3
79765,36216,15284,11686,6594,8762,6272,5362,43,35,3
1140976,117901,23081,17125,33905,47998,14834,19388,56,38,3
1997144,299289,61961,57306,43296,45776,29462,17057,66,30,3
89960,29798,5016,3752,2864,2146,2549,3009,41,41,3
85084,95086,59188,61426,11164,13624,14768,8961,41,29,3
550146,89682,25781,53381,13418,7316,8814,13824,30,37,3
344526,15258,4224,8354,5204,6570,9410,4197,7,51,3
116196,21812,4004,7666,4818,4951,4711,4864,16,54,3
2285256,369176,208451,42705,20167,21928,4068,3911,26,60,3
247155,105932,58511,16808,4907,14313,6331,9354,20,54,3
15650,10542,3181,5490,12684,8918,6134,1485,24,53,3
6748,27977,5741,4493,3927,3227,2989,1682,35,47,3
91004,5832,2239,5926,2683,3322,2798,1143,27,43,3
68175,47121,6530,1991,2824,1883,535,747,51,44,3
25991,12486,4671,5018,5543,1879,995,560,41,30,3
44043,22227,6185,24708,5329,4602,6553,4854,21,38,3
29126,32953,15718,3232,11265,4285,3388,2808,23,53,3
5517,41912,3671,1970,5178,5474,5792,2215,10,47,3
20950,69361,13703,4099,5258,4441,2198,1362,26,41,3
11713,11286,2372,12617,16593,7295,5067,1840,20,34,3
9930,16356,396,5585,8145,2709,1956,3105,35,23,3
16563,12632,6370,5304,4569,6147,7001,3186,38,16,3
7546,7382,3369,1578,8160,11332,6390,2433,50,30,3
6610,13060,1396,5984,12067,10407,5489,3299,83,29,3
53825,50357,22365,4327,6728,5495,3180,4361,90,21,3
10391,12627,1572,3858,18238,5692,4162,4411,81,29,3
1338345,415346,110883,59265,66047,42096,64315,34334,83,16,3
2204296,169795,87645,41725,35139,10508,11406,12891,51,23,3
769617,157920,8496,18310,9014,18343,7551,23014,17,34,3
489570,109908,22160,15585,40365,16116,14304,2892,23,23,3
326329,66258,12185,4571,4975,6839,1524,2434,10,26,3
