223433,167493,191900,71238,33072,33702,26418,26796,74,100,2
722941,71972,32299,42014,28452,15382,11067,7337,74,100,2
109198,17347,4346,3565,2768,3399,1074,710,74,100,2
2094184,263817,182595,92674,77862,128914,44324,11604,74,100,2
419763,41877,2870,7119,8662,6816,4709,8683,74,100,2
916512,62398,14413,45965,43147,16092,8328,6210,74,100,2
1523396,347434,492193,75870,72672,40605,68053,49130,74,100,2
253068,63547,21368,54073,4085,14847,24257,9748,66,100,2
719001,399877,264675,187231,137620,156119,99498,39900,66,100,2
923440,659607,170243,131487,63982,12787,9223,11891,66,100,2
591027,32337,10883,5087,16197,2978,3995,2236,51,100,2
1963161,53598,157378,77650,57670,81078,58313,15356,69,100,2
513826,148566,4083,23437,9443,43269,14412,6936,84,84,2
1012715,26638,6865,4903,2557,16578,19508,5487,100,67,2
1926670,135506,89922,68908,86022,48209,74774,34433,100,75,2
211013,13593,15443,8362,1808,6262,11356,4804,100,74,2
204784,146806,3799,9403,16804,10037,11452,3396,84,64,2
1017788,82133,1249,9395,4142,4853,6100,3630,57,56,2
739063,430107,32756,101707,21956,117447,68609,48039,60,47,2
144255,49259,8387,4534,13663,3944,3210,1580,48,24,2
3139089,151669,204021,34085,67754,72920,28317,26079,48,24,2
439523,24380,11505,13038,3752,2227,1063,292,48,24,2
1712888,344172,79314,69713,130095,173810,31772,5929,48,24,2
331363,16457,4034,8963,3337,4978,2587,1035,48,24,2
2008355,225713,40903,11670,67633,29702,14689,6814,54,35,2
618347,37080,5277,4721,3070,3178,2638,876,57,43,2
824445,106385,17686,7555,9306,7319,2538,1344,40,40,2
1605387,454775,15822,70637,116796,24640,48943,52518,37,37,2
763175,13393,19243,16232,4572,3718,7573,3675,34,61,2
972370,85005,14703,35058,12049,9655,7516,7537,34,67,2
413168,122847,15669,64550,22098,31989,46558,41881,48,77,2
918500,122310,22764,12041,16105,17156,24679,9670,60,81,2
751184,19178,33169,23367,78711,8202,22419,8009,63,69,2
103053,41495,3085,3000,3370,3839,3847,2030,66,54,2
163682,228633,60761,25782,26229,37638,18795,20188,63,50,2
1700269,261188,12494,12879,12865,10893,4277,3852,48,40,2
592783,93721,24424,8229,11755,7169,8446,3184,40,30,2
476332,164987,12498,37802,17513,28408,38185,13589,44,40,2
677599,191787,39215,37762,48939,35804,6222,2565,44,40,2
768195,12165,6284,18801,13449,7634,1597,1369,44,40,2
295086,6423,9879,4696,4037,12971,1226,1287,77,63,2
1701979,545706,122351,59385,25723,50570,57266,52030,77,63,2
857349,128858,27388,61827,19605,14452,7940,9154,66,70,2
1341501,366846,57100,24182,83268,44308,7964,8157,66,70,2
371301,10346,3019,1122,3691,1513,436,454,66,70,2
1888715,65896,8433,15917,7818,11692,4454,1326,66,70,2
1852200,360261,21313,25120,79383,36473,10272,2429,66,70,2
1668365,40719,36895,31494,15783,20421,6606,3976,66,70,2
238275,1755,851,546,1465,875,539,336,74,74,2
1267869,73404,10035,37776,4283,27163,16970,7485,61,69,2
255917,20325,7630,12120,19571,13783,2249,1061,81,70,2
747450,94513,22321,10569,7340,6823,906,920,81,70,2
1808514,1273231,76302,89869,103533,241898,66360,31853,81,70,2
2152979,45660,39013,12952,8987,6181,1680,1955,81,77,2
1055018,74395,28881,11272,4975,7908,2752,3669,81,77,2
1402527,226977,80746,82493,56534,17386,6612,2669,81,77,2
76675,2002,3411,2659,1028,1415,435,355,81,77,2
473473,336347,42710,34389,6321,6574,7294,6452,81,77,2
19,3,1,2,0,1,1,0,81,77,2
31,45,20,7,3,4,1,2,81,77,2
37572,12739,2081,4516,4675,3118,648,413,81,77,2
2035693,25550,6372,25779,3906,17401,2820,1690,81,77,2
106525,32198,4841,23332,13267,2175,671,353,81,77,2
855958,70589,29631,34775,55668,29550,17884,4718,81,77,2
904624,87659,57405,25569,43411,25232,4086,3446,81,77,2
1445619,64810,3707,9056,3441,7447,302,403,69,67,2
